# table_S2b_variance_explained
# Variance in the true turnover rate explained by each descriptor set, with reactor variables (T, p_CO, p_O2) forced into every model so structural coefficients are partial effects.
# SIMULATED DATA -- generated by the opcem digital twin. These values are not measurements and were not obtained from any physical microscope, nanoreactor or mass spectrometer.
# git=338c95e seed=41
descriptor_set,n_features,r2_mean,r2_sd,n_seeds
census_matched_dim,6,0.9861,0.002584,5
census_only,7,0.986,0.002652,5
census_plus_dynamic,13,0.9866,0.002805,5
dynamic_only,6,0.6135,0.1285,5
