# table_S7b_frep_sensitivity
# Sensitivity of the representativeness fraction and the chip signal to the catalyst-area multiplier, which is an estimate rather than a measurement. The field's detector shortfall does not depend on it at all, so the central conclusion is unchanged over four orders of magnitude of the assumption.
# SIMULATED DATA -- generated by the opcem digital twin. These values are not measurements and were not obtained from any physical microscope, nanoreactor or mass spectrometer.
# git=ee55753 seed=91
catalyst_area_multiplier,f_rep,pt_atoms_on_chip,chip_rate_molec_per_s,chip_rate_over_limit,field_detector_shortfall
350,4.571e-10,1.969e+11,2.968e+09,0.003313,6.602e+11
3500,4.571e-11,1.969e+12,2.968e+10,0.03313,6.602e+11
3.5e+04,4.571e-12,1.969e+13,2.968e+11,0.3313,6.602e+11
3.5e+05,4.571e-13,1.969e+14,2.968e+12,3.313,6.602e+11
3.5e+06,4.571e-14,1.969e+15,2.968e+13,33.13,6.602e+11
